tx_rate,rx_rate,pkt_success,n0_awake_time,n1_awake_time,avg_transmission_time_per_pkt
100,100,100,100,1.0,8.259070836394663,8.274669793950094,1366.5834243597242
200,100,200,100,1.0,8.258219262328414,8.24158297136991,2329.1916458014853
300,100,300,100,1.0,8.249965227130739,8.244747528246437,2348.4466710202755
400,100,400,100,1.0,8.244512514329235,8.293575718710365,4406.739342890533
500,100,500,100,1.0,8.220516476189438,8.228941750984536,6514.7741658367895
600,100,600,100,1.0,8.20553490460096,8.23741948735951,6285.701139592414
700,100,700,100,1.0,8.160797234919109,8.254510841541935,8902.018012617118
800,100,800,100,1.0,8.216927678014443,8.277170578117078,5164.892508817664
900,100,900,100,1.0,8.202284394725888,8.279051511047026,8041.894560857106
1000,100,1000,100,1.0,8.155950211964992,8.258374912435551,10507.370205168185
1100,100,1100,100,1.0,8.14811562155953,8.263214044570312,12370.043360036201
1200,100,1200,100,1.0,8.162258645165732,8.231745801893611,12484.658378595166
1300,100,1300,100,1.0,8.126722495200319,8.250388081038796,16364.209159227572
1400,100,1400,100,1.0,8.10521563434516,8.257467447881172,18806.210218423454
1500,100,1500,100,1.0,8.156509385545842,8.261999280673068,14763.782800954375
1600,100,1600,100,1.0,8.07770463136479,8.24747540857499,21548.280378729996
1700,100,1700,100,1.0,8.084421745371829,8.284622167654925,20695.350896082677
1800,100,1800,100,1.0,8.079176536001679,8.253570237839947,20457.272973257073
1900,100,1900,100,1.0,8.088314763689839,8.26648960213327,24368.359176738988
2000,100,2000,100,1.0,8.08211062597799,8.267203622527038,21401.233752722474
2100,100,2100,100,1.0,8.035214169892866,8.259147094246341,27281.499552988793
2200,100,2200,100,1.0,8.08779388475563,8.273290389711823,23508.776893797356
2300,100,2300,100,1.0,8.06770766088083,8.234436484686606,22611.232082198458
2400,100,2400,100,1.0,8.072940766230765,8.253031679027568,23554.178265965245
2500,100,2500,100,1.0,7.946134098752329,8.285530635364188,33804.70740473994
2600,100,
