
normal
400,400,0.087111,0.966065,31468.096520,0:0:31:468
1000,400,0.097389,0.907894,105641.708614,0:1:45:641
2000,400,0.102889,0.823183,154228.849948,0:2:34:228
400,1000,0.250139,0.364722,88580.021812,0:1:28:580
1000,1000,0.248861,0.314361,206438.399813,0:3:26:438
2000,1000,0.331500,0.180350,1635165.876926,0:27:15:165
400,2000,0.586639,0.160417,173359.745687,0:2:53:359
1000,2000,0.566583,0.106190,679416.146933,0:11:19:416
2000,2000,0.257028,0.112032,3510993.863001,0:58:30:993

sleep time scaled to 250/15
400,400,0.102694,0.972461,32793.631944,0:0:32:793
1000,400,0.117694,0.907329,80621.562500,0:1:20:621
2000,400,0.122417,0.797801,159998.305556,0:2:39:998
400,1000,0.323667,0.359556,93156.937500,0:1:33:156
1000,1000,0.325139,0.290630,241857.312500,0:4:1:857
2000,1000,0.393111,0.136299,1384575.675439,0:23:4:575
400,2000,0.657889,0.155449,196656.576389,0:3:16:656
1000,2000,0.795417,0.068100,2123013.324074,0:35:23:13
2000,2000,0.339361,0.089100,3961571.317460,1:6:1:571

sleep time scaled to 250/15, second run
400,400,0.111972,0.966602,34872.333333,0:0:34:872
1000,400,0.108278,0.919806,96177.152778,0:1:36:177
2000,400,0.113111,0.814310,166961.284722,0:2:46:961
400,1000,0.381361,0.345079,100404.895833,0:1:40:404
1000,1000,0.363694,0.278771,254285.425532,0:4:14:285
2000,1000,0.287333,0.207280,2526015.813725,0:42:6:15
400,2000,0.688417,0.156968,196915.284722,0:3:16:915
1000,2000,0.678667,0.087722,2617332.484848,0:43:37:332
2000,2000,0.237111,0.121933,4192526.333333,1:9:52:526

sleep time scaled to 250/15 +-1
400,400,0.133083,0.958850,36844.861111,0:0:36:844
1000,400,0.092139,0.927282,84429.569444,0:1:24:429
2000,400,0.116083,0.813662,170893.170213,0:2:50:893
400,1000,0.208222,0.373620,82107.506944,0:1:22:107
2000,1000,0.340361,0.173778,1235181.333333,0:20:35:181
400,2000,0.592139,0.161998,174782.458333,0:2:54:782
1000,2000,0.595889,0.101014,1706200.495935,0:28:26:200
2000,2000,0.389417,0.070558,5553593.395833,1:32:33:593

sleep time scaled to 250/15, extra wait to get complete precision
400,400,0.150855,2.729981,31841.749381,0:0:31:841
1000,400,0.177014,2.569537,78771.536281,0:1:18:771
2000,400,0.185070,2.278694,173566.304496,0:2:53:566
400,1000,0.323048,1.067892,76207.434710,0:1:16:207
1000,1000,0.430569,0.878444,195010.051152,0:3:15:10
2000,1000,0.560472,0.489479,2061825.768648,0:34:21:825
400,2000,0.836032,0.468334,188793.071848,0:3:8:793
1000,2000,1.144711,0.225729,1006221.161544,0:16:46:221
2000,2000,0.596997,0.219982,4096762.736883,1:8:16:762
