ttylog: invalid device /dev/ttyACM0
ttylog: invalid device /dev/ttyACM0
ttylog: invalid device /dev/ttyACM0
[Thu Mar  7 15:07:43 2019] 212  10  0  19032  
[Thu Mar  7 15:07:43 2019] ˆ
[Thu Mar  7 15:07:43 2019] 
[Thu Mar  7 15:07:43 2019] 144  10  0  19188  
[Thu Mar  7 15:07:43 2019] ˆ
[Thu Mar  7 15:07:43 2019] 
[Thu Mar  7 15:07:43 2019] 23  10  0  19223  
[Thu Mar  7 15:07:43 2019] ˆ
[Thu Mar  7 15:07:43 2019] 
[Thu Mar  7 15:07:44 2019] 340  10  0  19573  
[Thu Mar  7 15:07:44 2019] ˆ
[Thu Mar  7 15:07:44 2019] 
[Thu Mar  7 15:07:44 2019] 89  10  0  19673  
[Thu Mar  7 15:07:44 2019] ˆ
[Thu Mar  7 15:07:44 2019] 
[Thu Mar  7 15:07:44 2019] 571  8  0  20255  
[Thu Mar  7 15:07:44 2019] ˆ
[Thu Mar  7 15:07:44 2019] 
[Thu Mar  7 15:07:46 2019] 1289  11  0  21556  
[Thu Mar  7 15:07:46 2019] ˆ
[Thu Mar  7 15:07:46 2019] 
[Thu Mar  7 15:07:46 2019] 482  10  0  22049  
[Thu Mar  7 15:07:46 2019] ˆ
[Thu Mar  7 15:07:46 2019] 
[Thu Mar  7 15:07:47 2019] 380  10  0  22440  
[Thu Mar  7 15:07:47 2019] ˆ
[Thu Mar  7 15:07:47 2019] 
[Thu Mar  7 15:07:47 2019] 422  10  0  22874  
[Thu Mar  7 15:07:47 2019] ˆ
[Thu Mar  7 15:07:47 2019] 
[Thu Mar  7 15:07:47 2019] 134  10  0  23020  
[Thu Mar  7 15:07:47 2019] ˆ
[Thu Mar  7 15:07:47 2019] 
[Thu Mar  7 15:07:48 2019] 963  8  0  23995  
[Thu Mar  7 15:07:48 2019] ˆ
[Thu Mar  7 15:07:48 2019] 
[Thu Mar  7 15:07:49 2019] 1138  11  0  25144  
[Thu Mar  7 15:07:49 2019] ˆ
[Thu Mar  7 15:07:49 2019] 
[Thu Mar  7 15:07:49 2019] 68  11  0  25224  
[Thu Mar  7 15:07:49 2019] ˆ
[Thu Mar  7 15:07:49 2019] 
[Thu Mar  7 15:07:50 2019] 789  8  0  26024  
[Thu Mar  7 15:07:50 2019] ˆ
[Thu Mar  7 15:07:50 2019] 
[Thu Mar  7 15:07:50 2019] 167  8  0  26202  
[Thu Mar  7 15:07:50 2019] ˆ
[Thu Mar  7 15:07:50 2019] 
[Thu Mar  7 15:07:50 2019] 90  10  0  26303  
[Thu Mar  7 15:07:50 2019] ˆ
[Thu Mar  7 15:07:50 2019] 
[Thu Mar  7 15:07:51 2019] 55  10  0  26368  
[Thu Mar  7 15:07:51 2019] ˆ
[Thu Mar  7 15:07:51 2019] 
[Thu Mar  7 15:07:51 2019] 542  10  0  26921  
