=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.02.27 14:02:26 =~=~=~=~=~=~=~=~=~=~=~=

RFM69 radio init OK!
one circle time, sleep_time, awake time, set_sleepTime, set_buffer, set_sendtoWait, set_send, set_randomTime_in_sendtoWait, set_waitAvailableTimeout, waitAvailableTimeout_within_numTimes
50.00, 37, 13.00, 2.00, 0.00, 11.00, 2.00, 0.00, 9.00, 444
12.00, 1, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 519
12.00, 1, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 526
47.00, 38, 9.00, 0.00, 0.00, 11.00, 5.00, 0.00, 6.00, 364
69.00, 61, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 331
106.00, 94, 12.00, 2.00, 0.00, 10.00, 2.00, 0.00, 8.00, 470
53.00, 43, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 439
106.00, 98, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 316
60.00, 50, 10.00, 0.00, 0.00, 11.00, 4.00, 0.00, 7.00, 387
94.00, 82, 12.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 591
219.00, 210, 9.00, 0.00, 2.00, 8.00, 2.00, 0.00, 6.00, 355
39.00, 30, 9.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 344
66.00, 52, 14.00, 2.00, 0.00, 12.00, 4.00, 0.00, 8.00, 546
12.00, 2, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 445
111.00, 102, 9.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 327
64.00, 52, 12.00, 0.00, 0.00, 13.00, 5.00, 0.00, 8.00, 536
88.00, 77, 11.00, 0.00, 2.00, 10.00, 2.00, 0.00, 8.00, 505
33.00, 24, 9.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 334
100.00, 89, 11.00, 2.00, 0.00, 10.00, 4.00, 0.00, 6.00, 384
113.00, 104, 9.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 318
35.00, 22, 13.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 636
115.00, 103, 12.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 544
27.00, 17, 10.00, 0.00, 0.00, 11.00, 4.00, 0.00, 7.00, 388
18.00, 6, 12.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 608
56.00, 47, 9.00, 0.00, 0.00, 9.00, 2.00, 0.00, 7.00, 300
53.00, 43, 10.00, 2.00, 0.00, 8.00, 2.00, 0.00, 6.00, 305
14.00, 6, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 308
77.00, 65, 12.00, 2.00, 0.00, 10.00, 2.00, 0.00, 8.00, 499
55.00, 44, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 524
57.00, 46, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 525
46.00, 32, 14.00, 0.00, 0.00, 13.00, 2.00, 0.00, 11.00, 653
75.00, 63, 12.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 626
96.00, 88, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 292
39.00, 28, 11.00, 2.00, 2.00, 8.00, 2.00, 0.00, 6.00, 348
49.00, 39, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 438
45.00, 35, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 6.00, 426
93.00, 82, 11.00, 0.00, 0.00, 11.00, 2.00, 0.00, 9.00, 437
106.00, 95, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 534
105.00, 96, 9.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 304
23.00, 14, 9.00, 0.00, 0.00, 9.00, 2.00, 0.00, 7.00, 322
92.00, 82, 10.00, 2.00, 0.00, 8.00, 2.00, 0.00, 6.00, 294
55.00, 46, 9.00, 0.00, 0.00, 10.00, 4.00, 0.00, 6.00, 376
54.00, 42, 12.00, 0.00, 0.00, 13.00, 4.00, 0.00, 9.00, 523
71.00, 61, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 476
26.00, 14, 12.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 623
27.00, 15, 12.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 542
33.00, 21, 12.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 554
37.00, 27, 10.00, 0.00, 0.00, 10.00, 2.00, 2.00, 6.00, 412
23.00, 12, 11.00, 0.00, 0.00, 11.00, 2.00, 0.00, 9.00, 461
24.00, 16, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 321
113.00, 102, 11.00, 2.00, 0.00, 8.00, 2.00, 0.00, 6.00, 330
49.00, 38, 11.00, 0.00, 2.00, 10.00, 2.00, 0.00, 8.00, 499
41.00, 31, 10.00, 0.00, 0.00, 10.00, 2.00, 2.00, 6.00, 418
8.00, 0, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 287
20.00, 5, 15.00, 2.00, 0.00, 14.00, 4.00, 0.00, 10.00, 699
76.00, 65, 11.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 479
17.00, 5, 12.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 527
151.00, 140, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 543
317.00, 307, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 448
